,CelularPraAcessar,ComputadorPraAcessar,RendaPerCapita,TemCelular,TemComputador
1310,Sim,2.0,1550.0,2.0,1.0
1311,Sim,4.0,2000.0,2.0,1.0
1314,Sim,2.0,1975.0,2.0,1.0
1317,Sim,2.0,1650.0,2.0,1.0
1319,Sim,2.0,610.0,2.0,1.0
1320,Sim,2.0,850.0,2.0,1.0
1321,Não,2.0,6700.0,2.0,1.0
1322,Sim,2.0,6000.0,2.0,1.0
1324,Não,2.0,1366.0,2.0,1.0
1325,Sim,2.0,2000.0,2.0,1.0
1327,Não,2.0,3800.0,2.0,1.0
1328,Sem Informação,missing,261.0,2.0,1.0
1332,Não,2.0,1140.0,2.0,1.0
1334,Não,2.0,1144.0,2.0,1.0
1335,Não,2.0,1800.0,2.0,1.0
1336,Não,2.0,2000.0,2.0,1.0
1337,Sem Informação,missing,766.0,2.0,1.0
1338,Sim,2.0,1066.0,2.0,1.0
1340,Não,2.0,1033.0,2.0,1.0
1341,Sem Informação,missing,600.0,2.0,1.0
1344,Sim,2.0,275.0,2.0,1.0
1346,Sem Informação,missing,2140.0,2.0,1.0
1348,Sim,2.0,2400.0,2.0,1.0
1349,Não,2.0,2029.0,2.0,1.0
1354,Sim,4.0,1100.0,2.0,1.0
1357,Sim,2.0,1100.0,2.0,1.0
1361,Sim,2.0,275.0,2.0,1.0
1362,Não,2.0,800.0,2.0,1.0
1365,Sim,2.0,830.0,2.0,1.0
1368,Sim,2.0,1540.0,2.0,1.0
1370,Sim,2.0,2550.0,2.0,1.0
1371,Sim,2.0,4000.0,2.0,1.0
1372,Sim,2.0,4000.0,2.0,1.0
1373,Sim,2.0,5250.0,2.0,1.0
1375,Sim,2.0,500.0,2.0,1.0
1376,Sim,2.0,1550.0,2.0,1.0
1378,Sim,2.0,800.0,2.0,1.0
1379,Não,2.0,325.0,2.0,1.0
1380,Sim,2.0,3322.0,2.0,1.0
1381,Sim,2.0,500.0,2.0,1.0
1383,Sim,2.0,3500.0,2.0,1.0
1384,Sim,2.0,4033.0,2.0,1.0
1385,Sim,2.0,3933.0,2.0,1.0
1386,Sim,2.0,8266.0,2.0,1.0
1388,Sim,2.0,1750.0,2.0,1.0
1389,Sim,2.0,1000.0,2.0,1.0
1393,Não,2.0,33.0,2.0,1.0
1395,Não,2.0,1350.0,2.0,1.0
1403,Sim,4.0,2150.0,2.0,1.0
1404,Sim,2.0,1850.0,2.0,1.0
1409,Sim,2.0,1020.0,2.0,1.0
1412,Sim,2.0,4000.0,2.0,1.0
1413,Sim,2.0,2250.0,2.0,1.0
1414,Sim,2.0,800.0,2.0,1.0
1418,Sim,2.0,900.0,2.0,1.0
1419,Sim,2.0,750.0,2.0,1.0
1420,Sim,2.0,1600.0,2.0,1.0
1421,Sim,2.0,860.0,2.0,1.0
1422,Sem Informação,missing,1500.0,2.0,1.0
1423,Sim,2.0,785.0,2.0,1.0
1424,Não,2.0,0.0,2.0,1.0
1427,Sim,2.0,1000.0,2.0,1.0
1429,Sim,2.0,600.0,2.0,1.0
1431,Sim,2.0,2500.0,2.0,1.0
1432,Sim,2.0,2825.0,2.0,1.0
1434,Sim,2.0,3425.0,2.0,1.0
1435,Sim,2.0,6000.0,2.0,1.0
1436,Sim,2.0,3500.0,2.0,1.0
1437,Sim,2.0,3000.0,2.0,1.0
1438,Sim,2.0,6000.0,2.0,1.0
1441,Sim,2.0,1400.0,2.0,1.0
1442,Sem Informação,missing,2400.0,2.0,1.0
1445,Sim,2.0,4266.0,2.0,1.0
1453,Sim,2.0,666.0,2.0,1.0
1460,Sim,2.0,833.0,2.0,1.0
1463,Sem Informação,missing,210.0,2.0,1.0
1464,Sim,2.0,2183.0,2.0,1.0
1465,Sem Informação,missing,844.0,2.0,1.0
1469,Sim,2.0,1366.0,2.0,1.0
1471,Sem Informação,missing,233.0,2.0,1.0
1473,Sem Informação,missing,300.0,2.0,1.0
1474,Sim,2.0,348.0,2.0,1.0
1484,Sim,4.0,1500.0,2.0,1.0
1485,Sim,2.0,1300.0,2.0,1.0
1488,Sim,2.0,2000.0,2.0,1.0
1491,Sim,2.0,2050.0,2.0,1.0
1492,Sim,2.0,2333.0,2.0,1.0
1493,Sim,2.0,1250.0,2.0,1.0
1494,Sim,2.0,1457.0,2.0,1.0
1495,Sim,2.0,1250.0,2.0,1.0
1496,Sim,2.0,740.0,2.0,1.0
1498,Sem Informação,missing,1500.0,2.0,1.0
1499,Sim,2.0,531.0,2.0,1.0
1501,Sim,2.0,400.0,2.0,1.0
1503,Sim,2.0,1262.0,2.0,1.0
1504,Sim,2.0,750.0,2.0,1.0
1506,Sim,2.0,560.0,2.0,1.0
1512,Sim,2.0,1100.0,2.0,1.0
1515,Sem Informação,missing,733.0,2.0,1.0
1516,Sim,2.0,650.0,2.0,1.0
1520,Sim,2.0,1100.0,2.0,1.0
1526,Sim,2.0,600.0,2.0,1.0
1527,Sem Informação,missing,262.0,2.0,1.0
1528,Sim,2.0,429.0,2.0,1.0
1529,Sem Informação,missing,1600.0,2.0,1.0
1534,Sim,2.0,772.0,2.0,1.0
1537,Sim,2.0,377.0,2.0,1.0
1538,Sim,2.0,1400.0,2.0,1.0
1540,Sim,2.0,157.0,2.0,1.0
1542,Sim,2.0,1850.0,2.0,1.0
1543,Sim,2.0,1000.0,2.0,1.0
1546,Sim,2.0,1166.0,2.0,1.0
1548,Sim,2.0,860.0,2.0,1.0
1551,Sim,2.0,1975.0,2.0,1.0
